product_id,product_name,category_id,category_name,second_category_id,second_category_name,third_category_id,third_category_name,unit_price,image_url
7VQ80sB35Pfg,"Sauder Facets Collection Library, Sky Alder Finish",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,itKSfJOXb5ua,Cases & Holders,170.98,https://images.unsplash.com/photo-1568562685428-9c803a1fe45e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDF8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
PUTZpwBD42AY,"Safco Classic Bookcase, Traditional",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,F0RTA6ViSJS7,Desktop Organizers,438.15,https://images.unsplash.com/photo-1583076327488-3991237748f3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDJ8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
DwL1LGvvlLP2,"Safco Floating Shelf Set, Traditional",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,E5MdaVxCdRXK,Carts & Stands,196.74,https://images.unsplash.com/photo-1560184897-6cdec21b9962?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDN8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
8JVlEY0MHVzB,"Ikea 3-Shelf Cabinet, Metal",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,gUgpubVoW8ew,Card Files,141.9,https://images.unsplash.com/photo-1565374369705-acde12f3caa2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDR8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
YjUZrB5PqnLX,"Ikea Classic Bookcase, Traditional",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,F0RTA6ViSJS7,Desktop Organizers,411.75,https://images.unsplash.com/photo-1593670755950-603e1d6184b9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDV8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
Xv9KyBszE5Rp,"Dania Library with Doors, Metal",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,F0RTA6ViSJS7,Desktop Organizers,241.24,https://images.unsplash.com/photo-1631669394390-baf737ef47de?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDZ8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
LhzhkQsskfj3,"Bush Floating Shelf Set, Mobile",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,F0RTA6ViSJS7,Desktop Organizers,115.86,https://images.unsplash.com/photo-1593071045605-6aba9710b08d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDd8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
Rf9WLXJbZ5pr,"Safco Library with Doors, Traditional",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,F0RTA6ViSJS7,Desktop Organizers,389.79,https://images.unsplash.com/photo-1593430980369-68efc5a5eb34?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDh8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
dgEIohKe51DY,"Sauder Classic Bookcase, Metal",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,itKSfJOXb5ua,Cases & Holders,290.3,https://images.unsplash.com/photo-1593173945705-d6451ed5909a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDl8fEZ1cm5pdHVyZSUyMEJvb2tjYXNlc3xlbnwwfHx8fDE2Njk2MTg4ODM&ixlib=rb-4.0.3&q=80&w=1080
TSMlegoFEEbn,"Bush Library with Doors, Traditional",TQMnS5aEiOTt,Furniture,QJq4Lp1JUP97,Bookcases,itKSfJOXb5ua,Cases & Holders,242.88,https://images.unsplash.com/photo-1604062527894-55b0712bbee3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=Mnw5MDI4M3wwfDF8c2VhcmNofDEwfHxGdXJuaXR1cmUlMjBCb29rY2FzZXN8ZW58MHx8fHwxNjY5NjE4ODgz&ixlib=rb-4.0.3&q=80&w=1080
