product_id,product_name,category_id,category_name,second_category_id,second_category_name,third_category_id,third_category_name,unit_price
bguGYmIzBXeF,"Tenex Lockers, Blue",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,cGAY8PSjSybf,Storage Bins & Boxes,204.15
bb4yPyycNt30,"Acme Trimmer, High Speed",O8xD8rO2X816,Office Supplies,KVraCWQHdXOj,Supplies,AABy1Yj6edjQ,Glue & Glue Sticks,44.58
6frP11X2Lk5L,"Tenex Box, Single Width",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,cGAY8PSjSybf,Storage Bins & Boxes,16.53
EffF7kN7qGHd,"Enermax Note Cards, Premium",O8xD8rO2X816,Office Supplies,WtzhL5cVilg6,Paper,0V6sLr6aGtuU,Copy & Printer Paper,29.91
PlkqzI360PyP,"Eaton Computer Printout Paper, 8.5 x 11",O8xD8rO2X816,Office Supplies,WtzhL5cVilg6,Paper,0V6sLr6aGtuU,Copy & Printer Paper,30.69
gSawXTJpxRfr,"Fellowes Lockers, Wire Frame",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,jS5eFcAuwcyS,File Folders,206.4
FNK4N0oBgIcn,"Tenex Trays, Single Width",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,gm6nCZ8aVa3g,File Storage,54.24
a8qliXBl9LNF,"KitchenAid Coffee Grinder, Red",O8xD8rO2X816,Office Supplies,hwpWTtn7Tl5o,Appliances,LoI4lmPulhq4,"Coffee, Water & Snacks",70.47
9LzjfJNhM8t8,"Hamilton Beach Refrigerator, Silver",O8xD8rO2X816,Office Supplies,hwpWTtn7Tl5o,Appliances,LoI4lmPulhq4,"Coffee, Water & Snacks",333.92
PXkHzXOTvTmo,"Binney & Smith Pencil Sharpener, Easy-Erase",O8xD8rO2X816,Office Supplies,iqGEIzIl1stw,Art,sEghhe5Z1x5Z,Drawing Ink,27.93
NGfFlxY83Y3C,"Kleencut Ruler, High Speed",O8xD8rO2X816,Office Supplies,KVraCWQHdXOj,Supplies,AABy1Yj6edjQ,Glue & Glue Sticks,13.56
3xjKo6b2Jtj2,"Sanford Pencil Sharpener, Water Color",O8xD8rO2X816,Office Supplies,iqGEIzIl1stw,Art,8rDeNB23qEHt,Chalk,26.1
Ju3xEHmjJPDt,"Wilson Jones Hole Reinforcements, Economy",O8xD8rO2X816,Office Supplies,N5ccdFcsnltk,Binders,gCtco1vmTVuQ,A4 Binders,4.53
D0YkD9j0SCi8,"Smead File Folder Labels, Adjustable",O8xD8rO2X816,Office Supplies,oCfS4bvy1LsH,Labels,SZidrffddp2x,Address,6.78
CwjTLJ6uB1ZS,"GlobeWeis Peel and Seal, Set of 50",O8xD8rO2X816,Office Supplies,ZxKkOmS8NOKD,Envelopes,Hcw7hKx4Duob,Business,21.39
MKiCZrC3fLU9,"Acco Hole Reinforcements, Recycled",O8xD8rO2X816,Office Supplies,N5ccdFcsnltk,Binders,gCtco1vmTVuQ,A4 Binders,7.02
LdgtYpSZKtpf,"Avery Hole Reinforcements, Durable",O8xD8rO2X816,Office Supplies,N5ccdFcsnltk,Binders,gCtco1vmTVuQ,A4 Binders,5.91
qY6EiFnw1jab,"Wilson Jones Hole Reinforcements, Clear",O8xD8rO2X816,Office Supplies,N5ccdFcsnltk,Binders,38rg4WcUvmop,Mini Binders,2.66
AfdXAP89rxDY,"Fellowes File Cart, Industrial",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,jS5eFcAuwcyS,File Folders,137.79
Xe8hn4ZYM19p,"Hamilton Beach Toaster, Black",O8xD8rO2X816,Office Supplies,hwpWTtn7Tl5o,Appliances,LoI4lmPulhq4,"Coffee, Water & Snacks",56.94
g2PnCDJMEC9S,"Fellowes Lockers, Single Width",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,cGAY8PSjSybf,Storage Bins & Boxes,207.36
uT2z8ZiSgAMg,"BIC Sketch Pad, Blue",O8xD8rO2X816,Office Supplies,iqGEIzIl1stw,Art,Tt8AQ7EawiV5,Oil Paints,48.66
vADj5L3x1v1S,"Fellowes Shelving, Single Width",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,gm6nCZ8aVa3g,File Storage,57.87
YR7dvu4FTudi,"BIC Markers, Easy-Erase",O8xD8rO2X816,Office Supplies,iqGEIzIl1stw,Art,sEghhe5Z1x5Z,Drawing Ink,26.7
DXiXWuMCEyXY,"Kraft Peel and Seal, Security-Tint",O8xD8rO2X816,Office Supplies,ZxKkOmS8NOKD,Envelopes,yUwxpiq70mhM,Catalog,22.89
nWIxuT5DUtU8,"Smead Shelving, Single Width",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,jS5eFcAuwcyS,File Folders,48.96
c3mEp9RiO1yg,Recycled Steel Personal File for Hanging File Folders,O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,jS5eFcAuwcyS,File Folders,57.23
VsCR2733rFfj,"Stanley Canvas, Blue",O8xD8rO2X816,Office Supplies,iqGEIzIl1stw,Art,Tt8AQ7EawiV5,Oil Paints,49.47
oFLnol6ej2zh,"Fellowes Folders, Blue",O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,cGAY8PSjSybf,Storage Bins & Boxes,26.4
R0Dm9hfzQt09,Fellowes Bankers Box Recycled Super Stor/Drawer,O8xD8rO2X816,Office Supplies,e5a2vp9Bpczy,Storage,jS5eFcAuwcyS,File Folders,53.98
