,Product ID,Category,Sub-Category,Product Name,Unit Price
0,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",204.15
1,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",44.58
2,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",16.53
3,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium",29.91
4,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",25.26
5,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",30.69
6,TEC-CO-10002316,Technology,Copiers,"Brother Personal Copier, Laser",142.89
7,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",170.98
8,OFF-FEL-10001541,Office Supplies,Storage,"Fellowes Lockers, Wire Frame",206.4
9,OFF-ST-10002161,Office Supplies,Storage,"Tenex Trays, Single Width",54.24
10,OFF-AP-10001254,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Red",70.47
11,OFF-AP-10002317,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",333.92
12,FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",51.6
13,OFF-AR-10001529,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",27.93
14,OFF-SU-10000484,Office Supplies,Supplies,"Kleencut Ruler, High Speed",13.56
15,TEC-AC-10001221,Technology,Accessories,"Memorex Memory Card, USB",68.32
16,OFF-AR-10000980,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",26.1
17,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy",4.53
18,OFF-LA-10001292,Office Supplies,Labels,"Smead File Folder Labels, Adjustable",6.78
19,OFF-EN-10004597,Office Supplies,Envelopes,"GlobeWeis Peel and Seal, Set of 50",21.39
20,OFF-BI-10001249,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",7.02
21,OFF-BI-10001717,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",5.91
22,OFF-BI-10000719,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear",2.66
23,OFF-FEL-10001405,Office Supplies,Storage,"Fellowes File Cart, Industrial",137.79
24,FUR-BO-10000259,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",438.15
